# Title/abstract screening for the Paper 0 light-yield survey.
# auto_* is a crude keyword verdict; reviewed_* is what a human decided
# after reading, and is what the extraction step uses. A blank
# reviewed_decision means not yet reviewed.
arxiv_id,published,title,auto_decision,auto_reason,reviewed_decision,reviewed_reason
1210.3755v1,2012-10-14,Scintillation properties of pure and Ce$^{3+}$-doped SrF$_2$ crystals,screen,abstract mentions a light yield -- read the full text,,
1210.6734v1,2012-10-25,Precise measurement of the absolute fluorescence yield of the 337 nm band in atmospheric gases,screen,abstract mentions a light yield -- read the full text,,
1211.1256v1,2012-11-06,"Deep trapping states in Cerium doped (Lu,Y,Gd)3(Ga,Al)5O12 single crystal scintillators",screen,abstract mentions a light yield -- read the full text,,
1211.5548v2,2012-11-23,Effect of SiO2 coating in bolometric Ge light detectors for rare event searches,exclude,abstract reports no light yield or output,,
1212.4050v1,2012-12-17,Suitability of high-pressure xenon as scintillator for gamma ray spectroscopy,screen,abstract mentions a light yield -- read the full text,,
1301.6403v3,2013-01-27,Measurement of the proton light response of various LAB based scintillators and its implication for supernova neutrino detection via neutrino-proton scattering,screen,abstract mentions a light yield -- read the full text,,
1302.0534v2,2013-02-03,A Concept for A Dark Matter Detector Using Liquid Helium-4,exclude,abstract reports no light yield or output,,
1303.4080v2,2013-03-17,Performances of a large mass ZnSe bolometer to search for rare events,exclude,abstract reports no light yield or output,,
1303.5952v1,2013-03-24,Application of the Monte-Carlo refractive index matching (MCRIM) technique to the determination of the absolute light yield of a calcium molybdate scintillator,screen,abstract mentions a light yield -- read the full text,,
1304.3793v1,2013-04-13,Light output response of the LVD liquid scintillator to neutron-induced nuclear recoils,exclude,organic or liquid scintillator,,
1305.1560v2,2013-05-07,New Approaches for Improvement of TOF-PET,screen,abstract mentions a light yield -- read the full text,,
1306.5675v3,2013-06-24,Observation of the Dependence of Scintillation from Nuclear Recoils in Liquid Argon on Drift Field,exclude,organic or liquid scintillator,,
1307.8376v1,2013-07-31,Quartz Capillary Cladding Anthracene and Polycyclic Aromatic Hydrocarbon(PAH)-Core Scintillating/WLS Fibers for High Rates and Radiation Damage Resistance,exclude,organic or liquid scintillator,,
1308.3478v1,2013-08-15,Preliminary results of ANAIS-25,exclude,abstract reports no light yield or output,,
1308.3658v2,2013-08-16,The Effects of Dissolved Methane upon Liquid Argon Scintillation Light,screen,abstract mentions a light yield -- read the full text,,
1308.3908v1,2013-08-19,Absolute light yield measurements on SrF$_{2}$ and BaF$_{2}$ doped with rare earth ions,screen,abstract mentions a light yield -- read the full text,,
1308.6085v1,2013-08-28,Characterization of Large Volume 3.5 x 8 inches LaBr3:Ce Detectors,screen,abstract mentions a light yield -- read the full text,,
1309.3736v1,2013-09-15,Optimum performance investigation of LYSO crystal pixels: A comparison between GATE simulation and experimental data,screen,abstract mentions a light yield -- read the full text,,
1310.6431v1,2013-10-23,"A neutron spectrometer for studying giant resonances with (p, n) reactions in inverse kinematics",exclude,organic or liquid scintillator,,
1401.5161v2,2014-01-21,Development of a novel scintillation-trigger detector for the MTV experiment using aluminum-metallized film tapes,exclude,organic or liquid scintillator,,
1402.2241v1,2014-02-10,Optimization of light collection from crystal scintillators for cryogenic experiments,exclude,abstract reports no light yield or output,,
1402.6871v1,2014-02-27,Temperature dependence of the light yield of the LAB-based and mesitylene-based liquid scintillators,exclude,organic or liquid scintillator,,
1404.7846v1,2014-04-30,Impact of geometry on light collection efficiency of scintillation detectors for cryogenic rare event searches,screen,abstract mentions a light yield -- read the full text,,
1405.0848v2,2014-05-05,Expected performance of an ideal liquid argon neutrino detector with enhanced sensitivity to scintillation light,exclude,abstract reports no light yield or output,,
1405.7151v1,2014-05-28,A simplified spectrometer based on a fast digital oscilloscope for the measurement of high energy $γ$-rays,exclude,organic or liquid scintillator,,
1410.5949v1,2014-10-22,ANAIS: Status and prospects,exclude,abstract reports no light yield or output,,
1410.6496v1,2014-10-23,"Scalability, scintillation readout and charge drift in a kilogram scale solid xenon particle detector",screen,abstract mentions a light yield -- read the full text,,
1410.6933v2,2014-10-25,Aboveground test of an advanced Li$_2$MoO$_4$ scintillating bolometer to search for neutrinoless double beta decay of $^{100}$Mo,exclude,abstract reports no light yield or output,,
1411.6246v1,2014-11-23,Luminescence and scintillation properties of CsI -- a potential cryogenic scintillator,screen,abstract mentions a light yield -- read the full text,,
1501.00104v1,2014-12-31,ANAIS: Status and prospects,exclude,abstract reports no light yield or output,,
1501.00150v1,2014-12-31,A Comprehensive Simulation Study of a Liquid-Xe Detector for Contraband Detection,exclude,abstract reports no light yield or output,,
1502.02901v3,2015-02-10,A pilot study of the novel J-PET plastic scintillator with 2-(4-styrylphenyl)benzoxazole as a wavelength shifter,exclude,organic or liquid scintillator,,
1502.03931v2,2015-02-13,A First Comparison of the responses of a He4-based fast-neutron detector and a NE-213 liquid-scintillator reference detector,screen,abstract mentions a light yield -- read the full text,,
1503.00132v1,2015-02-28,Performance assessment of CsI(Tl) screens on various substrates for X-ray imaging,screen,abstract mentions a light yield -- read the full text,,
1503.03544v1,2015-03-12,Design Optimization of a Small-animal SPECT System Using LGSO Continuous Crystal and a Micro Parallel-hole Collimator,screen,abstract mentions a light yield -- read the full text,,
1503.03759v1,2015-03-12,Scintillation characteristics of undoped and Cu+-doped Li2B4O7 single crystals,screen,abstract mentions a light yield -- read the full text,,
1504.05489v1,2015-04-21,Temperature dependence of scintillation properties of SrMoO4,screen,abstract mentions a light yield -- read the full text,,
1506.00237v1,2015-05-31,Preliminary study of light yield dependence on LAB liquid scintillator composition,exclude,organic or liquid scintillator,,
1506.03210v1,2015-06-10,Background analysis and status of the ANAIS dark matter project,exclude,abstract reports no light yield or output,,
1506.04305v1,2015-06-13,Studies of scintillation properties of CaMoO4 at millikelvin temperatures,exclude,abstract reports no light yield or output,,
1507.08305v1,2015-07-28,Test of Lightguides for the J-PET Detector,screen,abstract mentions a light yield -- read the full text,,
1508.07023v2,2015-08-27,Measurement of Radiation Damage of Water-based Liquid Scintillator and Liquid Scintillator,exclude,organic or liquid scintillator,,
1509.07822v2,2015-09-25,"Scintillation Properties and Electronic Structure of Intrinsic and Extrinsic Mixed Elpasolites Cs2NaRBr3I3 (R = La, Y)",screen,abstract mentions a light yield -- read the full text,,
1510.00458v2,2015-10-02,Measurement of $α$-particle quenching in LAB based scintillator in independent small-scale experiments,exclude,organic or liquid scintillator,,
1510.03030v1,2015-10-11,Tests of Scintillator+WLS strips for Muon System at Future Colliders,screen,abstract mentions a light yield -- read the full text,,
1510.05787v1,2015-10-20,Low-Temperature Scintillation Properties of CaWO4 Crystals for Rare-Event Searches,screen,abstract mentions a light yield -- read the full text,,
1510.08572v1,2015-10-29,Radiation Hard & High Light Yield Scintillator Search for CMS Phase II Upgrade,exclude,organic or liquid scintillator,,
1511.08424v2,2015-11-26,"Temperature dependence of alpha-induced scintillation in the 1,1,4,4-tetraphenyl-1,3-butadiene wavelength shifter",screen,abstract mentions a light yield -- read the full text,,
1511.09339v2,2015-11-30,Separation of Scintillation and Cherenkov Lights in Linear Alkyl Benzene,exclude,organic or liquid scintillator,,
1512.01155v1,2015-12-03,Performance of Several Solid State Photomultipliers with CLYC Scintillator,exclude,abstract reports no light yield or output,,
1512.05957v1,2015-12-18,Technical Design Report for the AMoRE $0νββ$ Decay Search Experiment,exclude,abstract reports no light yield or output,,
1512.06729v3,2015-12-21,Time and Position Resolution of the Scintillator Strips for a Muon System at Future Colliders,screen,abstract mentions a light yield -- read the full text,,
1601.01184v1,2016-01-06,The ANAIS Dark Matter Project: Status and Prospects,exclude,abstract reports no light yield or output,,
1601.04989v1,2016-01-19,LUMINEU: a search for neutrinoless double beta decay based on ZnMoO$_4$ scintillating bolometers,exclude,abstract reports no light yield or output,,
1602.02983v1,2016-02-09,Performance study of single undoped CsI crystals for the Mu2e experiment,screen,abstract mentions a light yield -- read the full text,,
1604.00827v1,2016-04-04,Scintillation light simulation in big-sized BaF$_{2}$ and pure CsI crystals,exclude,abstract reports no light yield or output,,
1604.04128v1,2016-04-13,A measurement method of a detector response function for monochromatic electrons based on the Compton scattering,screen,abstract mentions a light yield -- read the full text,,
1605.05934v2,2016-05-19,First array of enriched Zn$^{82}$Se bolometers to search for double beta decay,exclude,abstract reports no light yield or output,,
1605.09615v1,2016-05-31,"PETALO, a new concept for a Positron Emission TOF Apparatus based on Liquid xenOn",exclude,abstract reports no light yield or output,,
1606.03574v1,2016-06-11,Monte Carlo simulation of a very high resolution thermal neutron detector composed of glass scintillator microfibers,exclude,abstract reports no light yield or output,,
1606.07806v1,2016-06-24,First test of an enriched $^{116}$CdWO$_4$ scintillating bolometer for neutrinoless double-beta-decay searches,exclude,abstract reports no light yield or output,,
1607.05486v2,2016-07-19,Tl2LaCl5 (Ce3+): New Fast and Efficient Scintillator for X- and γ-ray detection,screen,abstract mentions a light yield -- read the full text,,
1607.08588v3,2016-07-28,A feasibility study of ortho-positronium decays measurement with the J-PET scanner based on plastic scintillators,exclude,organic or liquid scintillator,,
1607.08783v1,2016-07-29,Scintillation Characterizations of Tl2LiLuCl6: Ce3+ Single Crystal,screen,abstract mentions a light yield -- read the full text,,
1608.07267v2,2016-08-25,Dose rate effects in the radiation damage of the plastic scintillators of the CMS Hadron Endcap Calorimeter,exclude,organic or liquid scintillator,,
1608.07556v1,2016-08-26,Radiation Hardness of 30 cm Long CsI(Tl) Crystals,screen,abstract mentions a light yield -- read the full text,,
1608.08696v1,2016-08-31,Characterization of the new scintillator CLYC,exclude,abstract reports no light yield or output,,
1608.08778v2,2016-08-31,The light-yield response of a NE-213 liquid-scintillator detector measured using 2 -- 6 MeV tagged neutrons,screen,abstract mentions a light yield -- read the full text,,
1610.01947v1,2016-10-06,Commissioning of the new multi-layer integration prototype of the CALICE tile hadron calorimeter,exclude,abstract reports no light yield or output,,
1610.06682v2,2016-10-21,KATANA - a charge-sensitive triggering system for the S$π$RIT experiment,exclude,organic or liquid scintillator,,
